chunk_path,original_filename,start_s,end_s
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_30-40s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",30,40
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_40-50s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",40,50
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_50-60s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",50,60
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_60-70s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",60,70
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_70-80s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",70,80
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_80-90s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",80,90
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_90-100s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",90,100
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_100-110s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",100,110
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_110-120s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",110,120
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_120-130s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",120,130
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_130-140s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",130,140
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_140-150s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",140,150
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_150-160s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",150,160
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_160-170s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",160,170
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_170-180s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",170,180
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_180-190s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",180,190
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_190-200s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",190,200
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_200-210s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",200,210
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_210-220s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",210,220
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_220-230s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",220,230
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_230-240s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",230,240
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_240-250s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",240,250
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_250-260s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",250,260
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_260-270s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",260,270
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_270-280s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",270,280
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_280-290s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",280,290
"/content/temp_audio_chunks/YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]_290-293s.wav","YOSHI (feat. thasup, Fabri Fibra & Capo Plaza) - prod. Strage [Remix].mp3",290,293
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_0-10s.wav,Fuori E Dentro (feat. thasup).mp3,0,10
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_10-20s.wav,Fuori E Dentro (feat. thasup).mp3,10,20
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_20-30s.wav,Fuori E Dentro (feat. thasup).mp3,20,30
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_30-40s.wav,Fuori E Dentro (feat. thasup).mp3,30,40
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_40-50s.wav,Fuori E Dentro (feat. thasup).mp3,40,50
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_50-60s.wav,Fuori E Dentro (feat. thasup).mp3,50,60
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_60-70s.wav,Fuori E Dentro (feat. thasup).mp3,60,70
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_70-80s.wav,Fuori E Dentro (feat. thasup).mp3,70,80
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_80-90s.wav,Fuori E Dentro (feat. thasup).mp3,80,90
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_90-100s.wav,Fuori E Dentro (feat. thasup).mp3,90,100
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_100-110s.wav,Fuori E Dentro (feat. thasup).mp3,100,110
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_110-120s.wav,Fuori E Dentro (feat. thasup).mp3,110,120
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_120-130s.wav,Fuori E Dentro (feat. thasup).mp3,120,130
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_130-140s.wav,Fuori E Dentro (feat. thasup).mp3,130,140
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_140-150s.wav,Fuori E Dentro (feat. thasup).mp3,140,150
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_150-160s.wav,Fuori E Dentro (feat. thasup).mp3,150,160
/content/temp_audio_chunks/Fuori E Dentro (feat. thasup)_160-170s.wav,Fuori E Dentro (feat. thasup).mp3,160,170
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_0-10s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,0,10
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_10-20s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,10,20
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_20-30s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,20,30
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_30-40s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,30,40
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_40-50s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,40,50
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_50-60s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,50,60
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_60-70s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,60,70
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_70-80s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,70,80
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_80-90s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,80,90
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_90-100s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,90,100
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_100-110s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,100,110
/content/temp_audio_chunks/BUD SPENCER - prod. Dade - Low Kidd - Salmo_110-111s.wav,BUD SPENCER - prod. Dade - Low Kidd - Salmo.mp3,110,111
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_0-10s.wav,Che Ore Sono (feat. Venerus).mp3,0,10
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_10-20s.wav,Che Ore Sono (feat. Venerus).mp3,10,20
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_20-30s.wav,Che Ore Sono (feat. Venerus).mp3,20,30
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_30-40s.wav,Che Ore Sono (feat. Venerus).mp3,30,40
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_40-50s.wav,Che Ore Sono (feat. Venerus).mp3,40,50
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_50-60s.wav,Che Ore Sono (feat. Venerus).mp3,50,60
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_60-70s.wav,Che Ore Sono (feat. Venerus).mp3,60,70
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_70-80s.wav,Che Ore Sono (feat. Venerus).mp3,70,80
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_80-90s.wav,Che Ore Sono (feat. Venerus).mp3,80,90
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_90-100s.wav,Che Ore Sono (feat. Venerus).mp3,90,100
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_100-110s.wav,Che Ore Sono (feat. Venerus).mp3,100,110
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_110-120s.wav,Che Ore Sono (feat. Venerus).mp3,110,120
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_120-130s.wav,Che Ore Sono (feat. Venerus).mp3,120,130
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_130-140s.wav,Che Ore Sono (feat. Venerus).mp3,130,140
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_140-150s.wav,Che Ore Sono (feat. Venerus).mp3,140,150
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_150-160s.wav,Che Ore Sono (feat. Venerus).mp3,150,160
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_160-170s.wav,Che Ore Sono (feat. Venerus).mp3,160,170
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_170-180s.wav,Che Ore Sono (feat. Venerus).mp3,170,180
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_180-190s.wav,Che Ore Sono (feat. Venerus).mp3,180,190
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_190-200s.wav,Che Ore Sono (feat. Venerus).mp3,190,200
/content/temp_audio_chunks/Che Ore Sono (feat. Venerus)_200-209s.wav,Che Ore Sono (feat. Venerus).mp3,200,209
/content/temp_audio_chunks/Tutto Ok_0-10s.wav,Tutto Ok.mp3,0,10
